id,name,salary,dob,join_date,performance,remarks,sector
1,puEucYCAh,141576.31,1991-01-19,2020-08-04,excellent,Needs improvement,Manufacturing
2,aAipSZy,,invalid_date,unknown_date,3.5,Needs improvement,Education
3,fmOrKIv,113382.93,2007-08-26,2003-05-07,1.24,,Finance
4,rGRcO,82242.77,2008-03-22,2023-01-01,2.61,Needs improvement,Retail
5,OdJJ,149573.94,2017-04-04,unknown_date,1.5,Good worker,Finance
6,uqxIlgvL,55034.11,2004-08-25,2015-09-30,2.99,—,
7,uDLtry,129315.18,1979-07-29,2011-09-20,excellent,Unreliable,IT
8,fBvyHXJtj,92570.29,2006-07-13,2008-07-06,excellent,Team player,Retail
9,wpdkW,90493.23,2010-05-17,2015-07-28,3.61,Unreliable,
10,XmtaoiBp,134103.17,1966-11-22,2014-12-14,3.2,,IT
11,JOxqudRZy,47694.03,1953-12-01,2000-05-17,2.01,,IT
12,TrpINA,131781.73,2000-07-08,2000-03-14,average,Unreliable,Healthcare
13,lEycqA,60969.56,2012-01-28,2013-08-27,2.35,Unreliable,Healthcare
14,NPhKEYxcOX,63418.75,1961-04-13,2014-03-15,2.54,,Healthcare
15,CCZLydFvE,unknown,1979-10-22,2018-03-05,4.06,—,Retail
16,CSio,144462.38,,2020-02-24,3.06,,Healthcare
17,MeXMVhAEh,108644.46,1951-01-11,2015-03-31,2.57,Promising,Finance
18,IZNJrAn,39609.42,1972-06-13,2021-02-13,4.33,Team player,Education
19,kCTt,30823.25,1995-09-17,2013-02-01,3.73,,Education
20,,94733.13,1998-02-20,2008-06-16,4.41,Unreliable,Retail
21,Mmnjmkzq,97247.3,1987-06-12,2020-10-17,,—,Retail
22,IYFE,,1965-01-14,2018-10-27,2.15,,Manufacturing
23,,101497.49,1995-10-21,2006-07-09,1.81,,Retail
24,aUyF,69401.76,1982-04-03,2002-10-30,4.66,Needs improvement,IT
25,kbw,74657.63,1953-11-25,2018-05-17,4.07,—,Manufacturing
26,iRWoKX,,1974-09-16,2013-06-04,1.64,Team player,IT
27,hXsln,,2010-06-06,2005-01-18,,Good worker,Retail
28,,64069.27,2006-08-27,2000-10-15,4.2,Good worker,
29,,56801.75,1991-04-04,2010-07-18,2.02,,
30,pplrJ,52301.63,1951-04-13,2009-03-13,4.04,Leadership potential,Healthcare
31,XIa,143941.86,1979-06-12,2006-12-18,2.16,,Finance
32,kIJMBkh,unknown,1968-02-02,2012-06-08,4.45,Good worker,Manufacturing
33,Kelv,126303.03,1999-04-10,2003-09-08,2.54,—,
34,fYVYN,117074.74,1961-08-19,2004-03-01,3.58,Team player,Manufacturing
35,,76540.94,1965-08-25,2012-07-01,,Unreliable,
36,beTwZtcP,95032.57,2001-10-04,2021-08-01,poor,,Finance
37,xROFh,87126.27,1963-09-21,2017-09-08,1.15,Promising,Finance
38,Bubzc,,,2001-07-19,3.54,,Finance
39,VYrydK,69860.48,2018-04-14,2016-04-02,3.15,Leadership potential,
